timestamp,text
Chapters,In this video
Search transcript,Transcript
0:01,"Chapter 1: Introduction, eating healthy on a budget, and overcoming barriers"
"The average American is now spending over $400 a month on groceries. And for millions, that's not affordable.",1 second
9 seconds,0:09
0:17,"We've been told that healthy eating is, quote, expensive, that it's complicated, while ultra processed junk is cheap and easy."
"But here's the truth. While ultra processed food might be cheap at the register, it's bankrupting our health and our future.",17 seconds
24 seconds,0:24
0:34,We're saving pennies on our wallets now only to pay thousands later in downstream health costs. You don't have to choose between healthy food and staying on a budget.
"Today, we're proving that you can eat for your biology without breaking your bank.",34 seconds
38 seconds,0:38
0:47,"In this video, I'm gonna show you how to make three delicious nourishing meals all for less than $6 a day. That's just $2 a meal."
I'm also gonna walk you through how to build a balanced plate and give you my top tips for navigating the grocery store minefield so you can stop being a victim of the system and start being the CEO of your own health.,47 seconds
1 minute,1:00
1:11,"You don't need a massive budget to reclaim your life. You just need a plan. Let's get started. You know, a lot of people feel like eating healthy is impossible on a tight budget."
"And I get why. Like for many families, their challenges go way beyond money.","1 minute, 11 seconds"
"1 minute, 15 seconds",1:15
1:24,"There's food deserts, there's limited mobility, there's long work hours, lack of time, and access to cooking spaces all make healthy eating harder."
"But you know, even with those barriers, the truth is this, you still have more power than you think. Now this is where empowerment happens, in the kitchen.","1 minute, 24 seconds"
1:33,Chapter 2: Recipe: Spanish potato tortilla
"Now when you know how to prep a few simple meals, you remove the stress, and you also remove the decision fatigue. And don't worry about taking notes.","1 minute, 33 seconds"
"1 minute, 41 seconds",1:41
1:50,I put all of these recipes plus a lot more into a free guide you can download below to make this really easy to follow. And every meal we make here fits inside the snap budget.
"Now it's not about perfection, it's not about expensive ingredients, or doing everything at once.","1 minute, 50 seconds"
"1 minute, 56 seconds",1:56
2:10,"It's about starting with small and doable changes, choices that add up over time to help you take back control of your health one meal at a time."
"You know, was born in Barcelona. I grew up eating these yummy Spanish potato tortillas, and it's very quick to make. It's just ingredients you really have around.","2 minutes, 10 seconds"
"2 minutes, 17 seconds",2:17
2:26,"Slice up the potatoes, Super simple. You take these little potatoes. You wanna slice them a little thin like this."
"And you slice them thin because you want them to cook fast. The first thing you do, essentially, is you got olive oil, you put it in your cast iron pan.","2 minutes, 26 seconds"
"2 minutes, 33 seconds",2:33
2:40,You have to make this in a cast iron pan because you end up putting it in the oven. And you wanna use plenty of olive oil because you wanna coat the bottom of the pan.
"And you throw in throw in the garlic, cook it down. Now here's the eggs.","2 minutes, 40 seconds"
"2 minutes, 45 seconds",2:45
2:56,"You might need depending on the size of the cast iron pan, if you use a 12 inch or a 14 inch, you're gonna need more. But I put about 14 eggs in here and whip them up."
So the onions are nice and cooked down. Okay.,"2 minutes, 56 seconds"
"2 minutes, 59 seconds",2:59
3:08,"So when the onions and the garlic starts to turn brown, then what you do is you take the potatoes and you sort of layer them on top."
"Looks like a lot, but it obviously cooks right down. A little salt and pepper in, and then you pepper it up, and then you mix it up.","3 minutes, 8 seconds"
"3 minutes, 17 seconds",3:17
3:22,"You gotta be patient with this because it takes, like, maybe a few minutes to cook, fifteen minutes."
"You don't really do much, but you have to make sure you don't burn it and the water doesn't evaporate.","3 minutes, 22 seconds"
"3 minutes, 27 seconds",3:27
3:35,"Because if the water evaporates, it can burn the potatoes and that's not you kinda smooth it all down so it's kinda even like this. And you take water and you pour it over."
You cover the potatoes and you let it cook on simmer until it all is done.,"3 minutes, 35 seconds"
"3 minutes, 42 seconds",3:42
3:47,"When the water starts to get near the end, you just take the lid off so all the water evaporates."
"Once you've got all that water cooked down and the potatoes are soft, they're delicious, you just take the eggs and you just kinda pour the eggs over until it kinda covers all potatoes.","3 minutes, 47 seconds"
"3 minutes, 59 seconds",3:59
4:11,"And then they have come I mean, you just take it and you just transfer it to the oven."
And you can see how beautifully it bakes in the oven.,"4 minutes, 11 seconds"
"4 minutes, 14 seconds",4:14
4:22,"Just let it cool for ten, fifteen minutes, and the key to getting it out is just rim around it with a knife like this, and then you kinda cut it like a pizza."
"Cut it in half, cut in quarters.","4 minutes, 22 seconds"
"4 minutes, 33 seconds",4:33
4:44,"And then you just take a nice piece of the pizza, the tortilla pizza. I'm really hungry, so I'm gonna eat some."
"Yeah. Oh, that's good. That's really good.","4 minutes, 44 seconds"
4:56,Chapter 3: Grocery shopping and navigating the aisles
The easiest way to shop the grocery store is to stay on the perimeter.,"4 minutes, 56 seconds"
5 minutes,5:00
5:07,"The deeper you go into the aisles, the more you're buying food that's been engineered and processed. Let's grab a bag of carrots."
"And kinda cool that people don't know this at Walmart and I'm, you know, not saying Walmart's the best store in the world, I'm just saying they're the biggest organic grocery for the cheapest and so you can get healthy food.","5 minutes, 7 seconds"
"5 minutes, 17 seconds",5:17
5:25,"I like the red small potatoes, they're not so starchy, More phytochemicals are better for you. And this is basically a whole chicken. This is $9."
This will feed a lot of people. It's a little more than a dollar a pound. Kinda like Easter trying to hunt for the egg.,"5 minutes, 25 seconds"
"5 minutes, 30 seconds",5:30
5:37,"You wanna get the best quality eggs you can possibly get and afford, but sometimes the higher quality ones are more expensive, but any eggs will do."
"Again, these frozen vegetables are so affordable and they're highly nutrient dense because they're just picked right after they're ripe.","5 minutes, 37 seconds"
"5 minutes, 44 seconds",5:44
5:49,"And so you get to preserve all the nutrients, they're flash frozen and they last for a long time in your fridge."
"So they put these at the end of the aisles because that's what gets most interesting and Cheerios protein, that sounds really good.","5 minutes, 49 seconds"
"5 minutes, 57 seconds",5:57
6:04,"Right? Anytime you see a health claim like this on the label, gluten free protein, don't eat it. It's bad for you."
"It's basically a wolf in sheep's clothing. And so basically, you've got per serving almost six teaspoons of sugar in a serving of cereal","6 minutes, 4 seconds"
"6 minutes, 12 seconds",6:12
6:18,"for breakfast for a kid in a healthy, high protein, fake news cereal. So don't eat that."
"This is a great way to make your food taste good without all the artificial crap, which is spices. And you can buy spices, they last a long time. Salt and pepper is my go to spices.","6 minutes, 18 seconds"
"6 minutes, 27 seconds",6:27
6:36,"We're gonna get some olive oil here. I also love vinegar, so I get I get balsamic vinegar. Here's what I picked up for my basic cooking essentials."
"And when possible, choose stainless steel, cast iron, ceramic glass, or silicone over nonstick.","6 minutes, 36 seconds"
"6 minutes, 43 seconds",6:43
Chapter 4: Recipe: Chicken burrito bowl,"They last longer and they hold up better over time. And remember, use what you have. You don't need perfection. You eat well."
"6 minutes, 54 seconds",6:54
7:01,Okay. So here's another simple easy to make it home recipe. It's a delicious chicken burrito bowl.
"First thing you gotta do is make the chicken. Basically, you just take a little salt, pepper, cumin.","7 minutes, 1 second"
"7 minutes, 7 seconds",7:07
7:15,"I love spices because they make things really good, but this is actually very anti inflammatory. Spices literally are medicine."
"And we have paprika, cumin, and you just buy your spices. They last a long time. Yummy flavors and mix them all together, and this is Mexican style chili powder.","7 minutes, 15 seconds"
"7 minutes, 25 seconds",7:25
7:32,"I mean, carefully, don't put too much on. And while you're waiting for the pan to heat up, we're gonna make homemade salsa. This is just simple diced tomatoes from a can."
"Super easy, very affordable. Squeeze in. You know, if you don't have a a lemon squeezer, you can use your thumb. Little chopped onion.","7 minutes, 32 seconds"
"7 minutes, 40 seconds",7:40
7:49,You can put a little olive oil in there for a yummy taste. Little salt and pepper. Mix it all up. The trick to making rice is rinse it because it's got kinda gummy stuff on it.
