timestamp,text
Sponsored,50% Off Today
Visit site,go.superbrandtools.com
Intro,Transcript
Do not die.,0:01
Hi friends. Given that we are the first,0:04
"generation who won't die, my team and I",0:06
have scoured the scientific literature,0:09
looking for the evidence on how to build,0:11
the best nutrition protocol. The rule is,0:13
every calorie has to fight for its life.,0:16
"Round one, fight. Every day I consume",0:20
"three meals and the meals vary daytoday,",0:24
but what they do have in common is a set,0:27
of foods that we have deemed to be the,0:30
superfoods of all things that I could,0:33
"put into my body. Today, I'm going to",0:35
share with you how my personal chef,0:36
prepares three of these dishes. While,0:38
0:40,5 Rules For Every Blueprint Meal
0:43,"the recipes change, each meal must meet"
0:45,the following criteria. They have to be
0:47,the most elite ingredients for
0:49,longevity. It needs to keep me within my
0:53,"daily macros of 25% protein, 35%"
0:56,"carbohydrates, and 40% fat. The"
0:57,ingredients need to be included in the
0:59,"don't diet food guide. And obviously, it"
1:01,can't include the bad things such as
1:03,"sugars, fried foods, etc. You would be"
1:05,"surprised, and maybe you're not, of how"
1:07,frequently you find these things hiding
1:09,in your food. My chef also prepares the
1:10,food in a way where we can make it one
Sweet Potato Curry,day and have enough food for 3 days. All
"right, let's get started with sweet",1:14
potato curry. This dish meets the,1:15
criteria of foods from the Don't Die,1:18
"Food Guide, including macadamia nuts,",1:20
"cauliflower, turmeric. It's also great",1:21
because you can make it in under 30,1:24
"minutes. First, chop one whole onion.",1:25
"There's no correct way of doing this,",1:28
"but I aim for a fine dice. Once done,",1:30
take a medium stainless steel pot and,1:32
put it on mediumigh heat. It's crucial,1:35
that your pots are stainless steel or,1:37
"ceramic, as non-stick cookware releases",1:40
forever chemicals known as PAS into your,1:42
food. These can stick around for,1:46
"decades, messing with your metabolism,",1:47
"hormones, and fertility.",1:50
"Once your pot is heated up, add in half",1:52
a tablespoon of avocado oil. Use avocado,1:55
oil when cooking because it has a higher,1:58
smoke point. This will form fewer toxic,2:00
carcinogens than other oils during,2:02
cooking. Keep it on medium heat to make,2:05
sure the oil does not exceed 375°,2:07
F or 190° C.,2:10
"Once the oil starts to simmer, add in",2:14
your onion. Stir and carry on cooking,2:16
until it's nice and translucent. It's,2:18
going to be about 5 minutes.,2:21
"As the onion cooks, use a spoon to peel",2:24
your ginger. This is faster than using a,2:26
knife or peeler and way more efficient,2:29
because you don't remove any of the,2:31
juicy flesh underneath.,2:33
"Next, peel a couple of cloves of garlic",2:36
