timestamp,text
Introduction,Transcript
hi again so maybe you just watched my,0:00
previous videos about coding of,0:02
perceptron and now I want to ask the,0:04
question why is not just stop here so,0:08
okay so we have this like very simple,0:13
scenario right where we have a canvas,0:15
and it has a whole bunch of points in,0:19
that canvas or a Cartesian plane,0:21
whatever we want to call it and we threw,0:23
a line in between and we were trying to,0:25
classify some points that are on one,0:27
side of the line and some other points,0:30
that are only another side of the line,0:32
so that was a scenario where we had to,0:34
be single perceptron the sort of like,0:37
processing unit we can call it the,0:38
neuron or the processor and it received,0:41
inputs it had like x0 and x1,0:43
we're like the x and y coordinates of,0:48
the point it also had this thing called,0:50
a bias and then it generated an output,0:52
each one of these inputs was connected,0:57
to the processor with a wait no wait one,1:00
way to or never wait wait wait and the,1:05
processor creates a weighted sum of all,1:08
the inputs multiplied by the weights,1:11
that weighted sum is passed through an,1:13
activation function to generate the,1:15
output so why isn't this good now let's,1:19
first think about what what's what's the,1:26
limit here so the idea is that what if I,1:29
want any number of inputs to generate,1:32
any number of outputs that's the essence,1:36
of what I want to do in a lot of,1:40
different machine learning applications,1:43
let's take a very classic classification,1:45
algorithm which is to say okay well what,1:48
if I have a handwritten digit like the,1:50
number 8 and I have all of the pixels of,1:53
1:56,Classification example
1:59,this digit and I want those to be the
2:02,inputs to this perceptron and I want the
2:06,output to tell me a set of probabilities
2:11,as to which digit it is so the output
2:12,should look something like
2:15,you know there's a point one chance it's
2:17,zero there's a point two chances of one
2:20,there's a point one chance' two two zero
2:24,three four five six seven oh it it's
2:25,like a point ninety nine chances at
2:27,eight and 0.05
2:30,chance it's a ten and I don't think I
2:32,got those to add up to one but you get
2:35,the idea so the idea here is that we
2:37,want to be able to have some type of
2:39,processing unit that can take it
2:42,arbitrary amount of inputs like maybe
2:46,this is a 28 by 28 pixel image so
2:50,there's 784 grayscale values and instead
2:52,those are coming into the processor
2:54,which was wait is it sudden and all this
2:55,stuff when we get an output that have
2:57,some arbitrary amounts of probabilities
3:00,to mitla help us guess eight not that
3:05,this is an eight this model why couldn't
3:07,I just have a whole bunch more inputs
3:09,and then a whole bunch more outputs but
3:11,still have one single processing unit
3:16,and the reason why I can't is a stems
3:18,from an article I don't know I'm sorry a
Perceptrons,book that was published in 1969 by
Marvin Minsky and Seymour Papert paper,3:21
call of perceptrons you know AI,3:23
luminaries here in the book perceptron,3:26
Marvin Minsky and Seymour Papert point,3:29
out that a simple perceptron the thing,3:35
that I built in the previous two videos,3:38
can only solve linearly separable,3:41
problems so what does that mean anyway,3:44
and why should you care about that so,3:47
3:49,Linearly separable problems
3:54,let's think about this this over here is
3:57,a linearly separable problem meaning I
4:02,need to classify this stuff and if I
4:04,were to visualize all that stuff I can
4:09,draw a line in between this part of the
4:12,day this this stuff is to this class and
4:14,this stuff that's with this class the
4:16,stuff itself is separable by a line in
4:18,three dimensions
4:19,I could put a plane and that would be
4:22,literally separable because I can kind
4:24,of divide the space in half and and
4:28,and understand it that way the problem
4:31,is most interesting problems are not
4:34,linearly separable you know there might
4:38,be some Dana which clusters all here in
4:40,the center that is of one class but
4:42,anything outside of it is of another
4:45,class and I can't draw one line to
4:47,separate that stuff and you might be
4:49,even thinking but that's you know still
4:51,so much you could do so much with
4:56,linearly separable stuff well here I'm
4:58,going to show you right now a particular
5:01,problem I'm looking for an eraser
5:04,logging around like a crazy person I'm
5:05,going to show you a particular problem
XOR,called X or I'm making the case for why
we need to go a step further I just had,5:10
an idea let's go back to the litter,5:13
I'm thinking the case for why we need to,5:15
go to a close go a step further and make,5:17
something called a multi-layer,5:21
perceptron and I'm going to lay out that,5:23
case for you right now so you might be,5:25
familiar you might remember me from my,5:27
videos on conditional statements and,5:30
boolean expressions well in those videos,5:32
I talked about operations like and and,5:34
or which in computer programming syntax,5:38
are often written you know double,5:41
ampersand or two pipes the idea being,5:43
that if I were to make a truth table,5:46
true true false false so what I'm doing,5:51
now is I'm showing you a truth table I,5:58
have two elements I'm saying what if I,6:00
say a and the B so if a is true,6:07
well this makes no sense what I've drawn,6:13
here because I'm losing my brain cells,6:16
slowly over time with every passing any,6:20
first not true false true false true,6:24
hand true yields true if I am hungry and,6:29
I am thirsty I shall go and,6:34
have budge right true and true yields,6:38
true true and false is false false and,6:43
true is false false itself is false,6:46
right if I have a boolean expression a,6:49
and B I need both of those things to be,6:51
true in order for me to get through,6:53
interestingly enough this is a linearly,6:56
separable problem I can draw a line,6:59
right here and true is on one side and,7:02
false is on the other side this means if,7:05
this is a linearly separable problem,7:08
which means I could create a perceptron,7:10
that perceptron is going to have two,7:12
inputs there are going to be boolean,7:14
values true or false for a false and I,7:16
could train this perceptron to give me,7:19
an output which if two truths come in I,7:21
should get it true if one false to the,7:24
true comes David I should get a false -,7:26
false coming I should get a false great,7:27
or I could do the same thing what is or,7:30
change in two if I'm going to do or me,7:32
erase this dotted line and or now all of,7:36
these become true because with an or,7:40
operation A or B I only need one of,7:42
these to be true in order to get true,7:46
but if both are false I get false and,7:50
guess what still a linearly separable,7:52
problem and is literally separable or is,7:54
literally separable we could have a,7:59
perceptron learn to do both of those,8:01
things now hold on a second,8:04
there is another boolean operator which,8:08
you may you might not have heard up,8:12
